DS_CARGO;NR_CANDIDATO;NM_CANDIDATO
DEPUTADO DISTRITAL;30190;JAIRO LUIS FERREIRA SANTOS DE MELO
DEPUTADO DISTRITAL;30007;JACINTO DE SOUSA
DEPUTADO DISTRITAL;30022;ERIC GUSTAVO DE GIS SILVA
DEPUTADO DISTRITAL;30700;CAULECI PACHECO DA SILVA
DEPUTADO DISTRITAL;30230;ALESSANDRA COBUCCI SALLES
DEPUTADO DISTRITAL;27024;ELISON FRANKLIN DE LIMA
DEPUTADO DISTRITAL;35026;SALVADOR DA SILVA CASTRO
DEPUTADO DISTRITAL;35456;CLUDIO FERREIRA DOMINGUES
DEPUTADO DISTRITAL;12555;JAIRON PINHEIRO DA SILVA
DEPUTADO DISTRITAL;12307;ALESSANDRO DA CONCEIO CALADO
DEPUTADO DISTRITAL;10190;FERNANDO BATISTA FERNANDES
DEPUTADO DISTRITAL;10123;MARCOS MARTINS MACHADO
DEPUTADO DISTRITAL;10010;JENNIFER GOMES DA CONCEIO
DEPUTADO DISTRITAL;22190;JULIA LUCY MARQUES ARAUJO
DEPUTADO DISTRITAL;22002;RICARDO ALMEIDA CASTANHEIRA
DEPUTADO DISTRITAL;22522;EVANDRO DE ARAUJO PAULA
DEPUTADO DISTRITAL;22061;ANNA CARINA SEBBA JANNUZZI
DEPUTADO DISTRITAL;22022;ANDR OCTVIO KUBITSCHEK BARBAR ALVES PEREIRA
DEPUTADO DISTRITAL;13133;ALTACI CORREA RUBIM
DEPUTADO DISTRITAL;13061;JOO VTOR DE OLIVEIRA SANTOS
DEPUTADO DISTRITAL;13001;JACY AFONSO DE MELO
DEPUTADO DISTRITAL;13405;JARBAS CAMPOS PARDIM
DEPUTADO DISTRITAL;45200;ANDERSON RODRIGUES VIEIRA
DEPUTADO DISTRITAL;45555;DANIELA CIRIACO FERREIRA
DEPUTADO DISTRITAL;45123;LUCIANA LIMA DA SILVA
DEPUTADO DISTRITAL;20002;VANDEILDO LOPES DE GOIS
DEPUTADO DISTRITAL;20028;PATRICIA HELENA AGOSTINHO MARTINS
DEPUTADO DISTRITAL;20061;LUIS CLAUDIO BORCEM MELO
DEPUTADO DISTRITAL;33007;ADIVALDO JOSE NOGUEIRA
DEPUTADO DISTRITAL;11211;NATALIA YARA DOS REIS
DEPUTADO DISTRITAL;11001;REJANE COSTA DE OLIVEIRA
DEPUTADO DISTRITAL;44567;SILVINHO ALMEIDA SILVA
DEPUTADO DISTRITAL;77007;FABIO BATISTA DE MORAIS
DEPUTADO DISTRITAL;77111;DEUSDETE VIEIRA DA SILVA FILHO
